id;wb_1;wb_2;wb_3;wb_4;wb_5;wb_6;wb_7;wb_8;wb_9;wb_10;wb_11;wb_12;wb_13;wb_14;stress_1;stress_2;stress_3;stress_4;stress_5;stress_6;stress_7;soc_1;soc_2;soc_3;soc_4;soc_5;soc_6;soc_7;soc_8;soc_9;soc_10;soc_11;soc_12;soc_13;sonc_1;sonc_2;sonc_3;sonc_4;sonc_5;sonc_6;sonc_7;sonc_8;trust_media;trust_court;trust_police;trust_pm;trust_gov;trust_econ;trust_health;trust_hospital;trust_edu;trust_localgov;trust_relig;support_family;support_community;support_virtual;support_gov;support_work;support_relig;support_friends;gender;age;age_1;soc;sonc;wb;trust;support;mh;edu - dummy;edu;stress
122;6;6;6;5;5;5;5;5;5;5;6;6;6;6;0;0;0;0;0;0;0;6;5;5;7;6;5;6;6;6;5;4;5;6;2;4;3;5;5;4;5;6;2;;4;1;2;2;2;5;3;3;;5;5;1;2;5;;5;1;1949;72;5.538461538;4.25;5.5;2.666666667;3.833333333;1.076923077;6;tertiary;0
123;4;6;6;6;4;2;6;5;6;4;6;5;5;6;1;1;1;2;0;1;0;7;4;6;5;3;4;4;5;2;3;6;6;3;2;1;2;2;1;3;2;6;4;4;4;1;1;1;3;4;2;3;1;5;2;1;2;5;1;4;2;1984;37;4.461538462;2.375;5.071428571;2.545454545;2.857142857;1.692307692;6;tertiary;6
124;2;2;3;1;1;1;1;2;3;6;2;4;3;2;1;1;0;2;1;2;0;6;2;2;7;5;7;7;6;4;4;4;6;4;2;4;6;4;3;3;2;4;2;3;3;3;3;2;3;4;3;1;1;5;2;2;1;3;3;3;2;1976;45;4.923076923;3.5;2.357142857;2.545454545;2.714285714;1.615384615;4;secondary;7
125;5;6;5;5;1;1;4;1;6;6;5;5;4;6;2;1;1;3;1;3;1;6;1;1;7;4;6;5;4;2;4;5;4;5;2;7;3;4;5;2;4;5;2;;3;1;1;1;1;4;3;3;1;5;1;3;2;5;1;5;2;1970;51;4.153846154;4;4.285714286;2;3.142857143;2.384615385;4;secondary;12
126;5;6;5;5;6;1;5;1;3;5;5;5;5;6;3;2;2;3;3;2;2;7;1;4;7;5;4;4;6;6;3;6;5;6;2;2;1;2;4;4;3;3;2;2;2;1;1;2;2;4;2;3;2;5;4;3;2;4;;5;2;1960;61;4.923076923;2.625;4.5;2.090909091;3.833333333;2.538461538;4;secondary;17
127;5;5;5;4;5;3;3;2;3;4;5;3;3;3;1;1;1;1;0;1;0;7;5;6;6;7;6;3;4;6;6;5;6;5;2;2;3;3;3;5;3;3;2;3;3;2;2;2;3;4;3;4;2;5;4;3;2;4;1;4;2;1978;43;5.538461538;3;3.785714286;2.727272727;3.285714286;1.384615385;5;tertiary;5
128;4;4;4;3;4;3;5;2;6;5;6;5;5;5;1;0;0;1;0;1;1;3;6;6;6;6;5;6;3;3;3;6;5;6;2;1;4;5;3;3;5;5;1;3;4;4;4;4;4;5;4;4;;3;1;1;1;4;1;4;1;1993;28;4.923076923;3.5;4.357142857;3.7;2.142857143;1.692307692;6;tertiary;4
129;3;5;3;5;2;1;4;2;4;3;4;6;5;5;2;1;1;2;2;1;1;6;3;5;6;6;3;3;5;5;4;5;6;3;3;5;5;4;5;3;5;7;3;2;2;1;2;2;2;4;3;3;;5;1;3;2;2;;4;2;1962;59;4.615384615;4.625;3.714285714;2.4;2.833333333;2.076923077;4;secondary;10
130;6;6;6;6;5;3;2;2;5;5;6;6;4;6;1;1;1;2;1;1;0;7;4;4;7;7;6;5;6;6;6;5;7;5;3;4;4;3;5;2;3;3;3;;;1;2;1;1;4;1;;;5;;;1;5;;5;2;1973;48;5.769230769;3.375;4.857142857;1.857142857;4;1.615384615;6;tertiary;7
131;4;6;4;6;6;4;4;2;4;6;4;4;3;6;1;1;1;2;2;1;1;6;4;6;5;6;5;4;5;4;4;4;6;4;2;4;3;3;3;6;2;3;3;3;4;2;2;2;2;5;3;3;1;5;4;;2;5;;5;2;1973;48;4.846153846;3.25;4.5;2.727272727;4.2;2.076923077;4;secondary;9
132;5;5;5;5;6;4;3;4;4;5;5;5;5;5;1;1;1;0;1;1;1;5;3;4;6;6;5;6;5;6;6;4;6;6;4;6;4;4;4;6;3;4;3;4;4;3;3;3;3;5;3;4;;5;2;2;3;4;;4;2;1955;66;5.230769231;4.375;4.714285714;3.5;3.333333333;1.461538462;6;tertiary;6
133;6;6;6;4;5;2;5;2;5;4;6;4;3;5;1;1;1;2;0;1;1;5;4;6;5;5;4;5;5;7;4;5;5;5;5;6;1;2;2;3;1;1;1;2;2;1;1;2;2;3;2;2;3;5;4;3;1;;;5;2;1988;33;5;2.625;4.5;1.909090909;3.6;1.846153846;4;secondary;7
134;4;6;5;5;5;3;2;2;5;6;3;5;6;5;1;0;1;1;1;1;0;5;3;6;7;5;7;5;6;5;6;3;7;5;5;5;2;4;5;6;6;7;2;4;2;1;2;1;3;3;3;4;2;5;3;4;2;2;;4;1;1970;51;5.384615385;5;4.428571429;2.454545455;3.333333333;1.769230769;6;tertiary;5
135;4;5;4;2;6;1;3;2;4;4;6;5;4;3;2;1;1;2;1;1;1;6;4;5;4;6;5;4;4;4;4;5;5;5;2;2;4;3;5;4;3;5;2;4;3;1;2;1;2;5;1;3;;5;;3;1;3;;5;2;1992;29;4.692307692;3.5;3.785714286;2.4;3.4;2.230769231;6;tertiary;9
136;4;5;5;3;3;2;4;2;2;6;6;4;5;4;2;1;1;1;0;1;0;7;7;7;4;7;7;4;3;5;4;5;3;4;2;2;3;3;2;6;3;7;1;3;2;1;1;2;3;4;3;1;1;3;3;3;1;3;1;3;2;1981;40;5.153846154;3.5;3.928571429;2;2.428571429;1.461538462;6;tertiary;6
137;5;5;4;2;2;1;5;2;3;4;4;5;4;3;1;0;1;0;0;1;0;5;4;5;5;5;7;4;6;6;5;5;3;6;5;2;5;6;4;3;5;6;2;3;3;2;2;2;3;4;3;3;;4;;;1;4;;5;2;1989;32;5.076923077;4.5;3.5;2.7;3.5;1.384615385;6;tertiary;3
138;4;4;4;3;4;2;3;2;4;5;5;5;4;4;0;0;1;0;1;0;2;3;2;2;5;4;3;6;2;4;4;3;4;3;1;2;1;2;2;5;3;4;3;4;4;3;3;3;3;5;4;5;2;4;3;1;3;4;3;4;2;1968;53;3.461538462;2.5;3.785714286;3.545454545;3.142857143;1.461538462;5;tertiary;4
139;4;6;5;6;5;4;6;2;5;3;5;6;4;6;2;1;2;3;1;1;0;6;6;6;6;5;5;6;3;3;5;4;7;5;5;6;5;5;5;2;5;7;1;3;5;1;3;;;5;2;4;;5;3;3;2;5;5;5;2;1984;37;5.153846154;5;4.785714286;3;4;2.153846154;6;tertiary;10
140;5;6;5;5;5;3;4;5;5;5;5;5;5;5;1;1;0;0;0;1;0;6;5;5;5;2;4;5;5;5;5;5;5;5;2;1;3;4;3;5;3;6;3;4;4;3;3;;;4;;;2;5;1;1;2;4;1;4;1;1997;24;4.769230769;3.375;4.857142857;3.285714286;2.571428571;1.307692308;4;secondary;3
